$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
3,0,1,1,-1,0,2,1,0,2,-1,3,2,-1,0,3,1,-1,2,-1,-1,-1,0,2,0,2,2,-1,-1,0,1,3,2,-1,2,1,2,3,1,0,1,1,1,3,0,3,0,1,2,0,95263.0,550,99525.0
2,3,3,3,0,0,-1,2,1,1,0,1,0,3,1,-1,3,-1,0,1,1,2,-1,0,-1,2,2,-1,3,1,0,1,0,2,1,-1,1,-1,2,0,2,1,2,-1,2,3,3,0,3,0,94970.0,582,99489.0
0,-1,2,0,3,-1,0,3,0,3,-1,0,1,1,-1,0,0,1,2,2,0,0,3,2,-1,-1,2,2,2,1,0,3,-1,1,1,1,2,3,2,3,2,3,2,1,0,3,1,-1,1,-1,94913.0,583,99488.0
3,0,0,3,2,-1,-1,3,2,0,1,1,1,0,2,0,-1,-1,-1,0,0,1,2,0,2,-1,2,3,-1,3,3,1,2,1,1,0,2,2,-1,1,2,3,1,-1,-1,2,1,-1,3,0,95373.0,542,99526.0
0,-1,-1,0,-1,3,2,2,3,-1,1,2,2,1,1,0,0,-1,0,0,1,0,2,0,0,-1,1,1,-1,2,2,3,-1,3,-1,0,1,3,-1,3,1,0,-1,3,1,2,2,2,3,-1,95097.0,536,99519.0
-1,2,0,3,2,2,1,-1,3,-1,2,0,-1,0,0,1,1,2,1,3,0,2,0,3,1,-1,2,2,0,-1,-1,1,0,3,1,-1,-1,3,3,3,0,1,1,1,2,3,1,0,0,3,94919.0,583,99494.0
2,3,1,3,2,1,2,3,3,2,2,2,0,0,3,1,1,2,-1,-1,1,3,2,3,1,2,0,-1,-1,0,0,-1,0,3,3,0,-1,0,-1,1,0,-1,1,1,0,0,-1,2,-1,-1,95160.0,544,99515.0
2,2,2,1,-1,1,0,-1,3,2,3,0,1,0,0,1,-1,0,3,2,-1,-1,1,0,2,1,0,-1,2,2,2,1,1,1,0,0,-1,0,0,3,2,3,1,-1,3,-1,-1,2,-1,0,95093.0,533,99518.0
1,3,2,1,-1,1,2,3,-1,3,1,2,-1,2,0,3,0,-1,3,0,3,2,2,1,-1,-1,3,3,1,2,-1,0,0,0,-1,2,0,0,1,3,0,2,2,-1,0,2,-1,-1,-1,2,95398.0,537,99521.0
2,-1,2,1,0,2,2,2,0,-1,3,3,2,0,-1,-1,3,-1,0,3,2,1,2,1,-1,0,0,1,1,-1,0,2,-1,1,-1,1,3,2,-1,1,1,-1,3,-1,0,2,-1,3,-1,0,95332.0,515,99528.0
-1,0,2,3,3,1,3,1,0,1,-1,-1,2,1,0,-1,0,-1,2,1,-1,3,-1,3,2,0,2,3,1,2,0,-1,1,-1,0,0,2,-1,2,0,2,1,0,-1,1,1,2,1,2,-1,95328.0,533,99524.0
2,1,0,0,2,3,1,-1,1,1,0,3,-1,-1,1,2,2,0,0,2,3,0,-1,0,0,1,1,-1,1,0,2,-1,2,3,1,3,0,-1,-1,3,1,0,2,-1,2,3,2,1,2,-1,94712.0,566,99501.0
